"codigo_manzana","prc_nmer03","prc_nmer04","prc_nmer05","prc_nmer06","prc_nmer07","prc_nmer08","prc_nmer09","prc_nmer10","prc_nmer11","prc_nmer12","prc_nmer13","prc_nmer14","prc_nmer15","prc_nmer16","prc_nmer17"
"7600110000000002110111","0.8771929824561403","4.385964912280701","0.8771929824561403","1.7543859649122806","6.140350877192982","3.508771929824561","1.7543859649122806","7.017543859649122","1.7543859649122806","1.7543859649122806","2.7027027027027026","1.8018018018018018","3.6036036036036037","1.8018018018018018","2.7027027027027026"
"7600110000000004090102","250","0","50","0","0","0","20","20","20","0","10","10","40","10","0"
"7600110000000002130204","0","7.6923076923076925","7.6923076923076925","0","7.6923076923076925","0","0","0","10","0","0","0","12.5","0","0"
"7600110000000002130102","0","0","0","0","0","0","0","0","0","0","0","0","0","16.666666666666664","0"
"7600110000000002010107","0","3.0303030303030303","0","0","3.0303030303030303","3.225806451612903","3.225806451612903","0","6.451612903225806","3.225806451612903","0","6.666666666666667","3.3333333333333335","3.3333333333333335","6.666666666666667"
"7600110000000002210203","9.090909090909092","9.090909090909092","9.090909090909092","0","9.090909090909092","0","0","0","10","10","0","0","0","15.384615384615385","0"
"7600110000000002040134","23.076923076923077","7.6923076923076925","7.6923076923076925","0","0","6.666666666666667","26.666666666666668","26.666666666666668","6.666666666666667","6.666666666666667","0","0","0","11.76470588235294","11.76470588235294"
"7600110000000002080314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7600110000000002230210","3.8095238095238098","9.523809523809524","5.714285714285714","4.761904761904762","7.6190476190476195","4.098360655737705","4.918032786885246","4.098360655737705","0.819672131147541","6.557377049180328","3.278688524590164","4.098360655737705","6.557377049180328","4.098360655737705","9.01639344262295"
"7600110000000002120109","4.761904761904762","0","4.761904761904762","0","0","0","0","0","0","0","8.695652173913043","0","0","0","0"
"7600110000000002140108","2.5","3.3333333333333335","0.8333333333333334","0.8333333333333334","5.833333333333333","0.9259259259259258","0","1.8518518518518516","2.7777777777777777","1.8518518518518516","1.0309278350515463","3.0927835051546393","4.123711340206185","3.0927835051546393","1.0309278350515463"
"7600110000000002110413","0","0","0","0","0","0","11.11111111111111","11.11111111111111","0","0","0","0","0","0","12.5"
"7600110000000002080104","0","0","0","0","0","0","0","0","5.88235294117647","0","0","0","0","0","0"
"7600110000000002130213","0","0","0","0","0","11.11111111111111","0","0","11.11111111111111","0","0","0","0","0","0"
"7600110000000002220415","3.571428571428571","7.142857142857142","3.571428571428571","3.571428571428571","0","9.090909090909092","9.090909090909092","4.545454545454546","0","9.090909090909092","4.3478260869565215","4.3478260869565215","0","4.3478260869565215","4.3478260869565215"
"7600110000000002210204","0","0","0","0","0","0","0","0","5.88235294117647","5.88235294117647","5.88235294117647","0","5.88235294117647","0","0"
