manzanac,ed0,ed1,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30,ed1,pred_dec,pred,dif
7.60E+21,1,1,1,1,0,3,0,1,1,0,2,0,1,2,1,1,1,2,0,1,0,0,2,3,2,3,5,2,5,3,4,1,1.005404762,1,0
7.60E+21,3,4,1,2,1,2,2,1,2,0,1,0,2,2,0,3,0,1,1,2,4,1,2,2,2,4,4,0,0,1,1,4,2.827142857,3,1
7.60E+21,11,15,17,14,16,11,6,7,13,14,15,13,10,9,10,6,12,11,8,3,11,4,8,4,10,10,5,8,17,16,15,15,14.05428571,14,1
7.60E+21,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,2,1,0,0,0,4,0,0,0,0,0,0.120398195,0,0
7.60E+21,1,3,5,1,2,0,1,1,0,4,2,1,4,4,1,1,3,6,7,3,7,6,3,4,5,7,7,4,3,7,7,3,2.642857143,3,0
7.60E+21,1,2,2,2,2,6,3,2,3,0,6,2,5,2,0,2,1,3,2,1,4,6,5,1,4,4,5,5,3,4,2,2,2.011490683,2,0
7.60E+21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,3,1,1,1,3,3,1,1,2,1,3,0,0,0.435432842,0,0
7.60E+21,1,0,2,1,0,1,2,4,0,3,6,0,3,4,4,3,7,2,2,5,5,2,1,3,2,3,1,0,2,0,1,0,0.376868132,0,0
7.60E+21,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0.210832985,0,0
7.60E+21,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,2,0,2,0,0,0,1,1,0,0.094979479,0,0
7.60E+21,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2,3,0,1,1,1,0,1,1,1,0,3,2,1,0.852569183,1,0
7.60E+21,3,11,7,10,3,5,9,9,8,12,13,9,13,15,11,12,11,10,14,7,8,7,11,14,15,11,9,6,7,9,6,11,8.902857143,9,2
7.60E+21,0,3,1,0,0,1,1,1,0,1,1,1,0,0,1,2,0,1,2,2,0,2,0,1,1,2,3,1,2,1,2,3,0.682905679,1,2
7.60E+21,0,0,2,0,1,2,2,1,3,1,1,0,2,0,1,1,1,2,4,2,1,0,0,0,2,0,0,1,0,0,1,0,0.291076067,0,0
7.60E+21,0,1,1,0,0,0,0,1,2,1,0,1,0,0,1,2,0,1,1,2,1,1,1,1,0,0,1,0,0,0,2,1,0.769930793,1,0
7.60E+21,1,2,1,0,2,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,1,3,1,2,2,0,1,0,1,2,2,2,0.376748175,0,2
7.60E+21,1,1,0,1,0,0,1,1,2,0,1,0,3,2,3,1,0,3,2,1,1,2,1,0,0,1,0,2,0,1,2,1,0.876663293,1,0
7.60E+21,0,0,0,0,0,1,0,2,0,1,1,2,1,0,1,0,4,0,2,1,3,2,0,0,0,1,1,2,1,1,0,0,0.268695194,0,0
7.60E+21,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,4,2,5,1,3,1,3,3,0,0.606793471,1,-1
7.60E+21,2,1,4,4,3,4,2,3,3,1,1,3,3,6,1,4,3,3,3,4,1,0,1,2,2,0,0,3,1,0,0,1,1.63,2,-1
7.60E+21,1,0,0,0,0,1,1,0,1,0,0,1,1,2,0,0,2,0,0,1,0,1,3,1,1,0,3,0,1,1,0,0,0.171337518,0,0
7.60E+21,0,0,1,1,1,0,2,2,5,1,2,4,2,0,2,1,4,1,1,1,3,4,4,1,1,3,1,3,3,2,6,0,0.567952999,1,-1
7.60E+21,0,1,2,1,0,2,0,1,1,0,1,0,0,1,2,1,2,1,1,1,1,2,0,1,2,1,2,1,0,2,0,1,0.812928723,1,0
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0.079721181,0,0
7.60E+21,2,3,3,2,0,3,1,0,1,0,4,2,0,3,0,0,0,1,1,0,6,2,3,4,3,2,7,1,5,8,3,3,2.47,2,1
7.60E+21,1,1,2,3,3,6,4,0,5,1,4,6,3,6,6,2,8,8,1,4,3,4,4,1,7,4,1,7,5,4,6,1,1.505357143,2,-1
7.60E+21,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,3,1,3,1,1,2,0,0.207865843,0,0
7.60E+21,0,0,0,0,1,0,0,0,1,0,2,1,2,1,0,1,2,0,4,3,0,0,0,0,0,0,1,2,0,0,3,0,0.349306266,0,0
7.60E+21,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,3,1,1,0,1,0,1,1,2,0,1,2,1,0,0.337299177,0,0
7.60E+21,0,0,1,0,0,2,0,0,0,0,0,1,4,0,0,0,1,0,3,2,1,1,0,4,2,0,0,0,0,2,1,0,0.192664033,0,0
7.60E+21,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,3,1,0,2,1,0,1,0,0.137985452,0,0
7.60E+21,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,3,0,1,0,0,1,0,2,0,2,0,2,0,3,0,0,0.234856468,0,0
7.60E+21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,4,0,0,0,2,5,0,0,0,0,0,0,0.19513928,0,0
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,2,0,3,1,0,0,0,0.138319833,0,0
7.60E+21,0,0,2,0,2,1,0,1,2,1,0,1,3,3,0,2,2,0,1,3,2,1,2,3,1,3,2,1,2,2,3,0,0.434216878,0,0
7.60E+21,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,3,0,0,0,0,1,3,1,0,0.407145855,0,0
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,3,0,0,2,0,0,0,0,0,0.032771576,0,0
7.60E+21,3,2,1,0,3,1,0,1,1,2,1,2,0,0,0,7,1,2,4,2,3,2,4,1,3,1,3,2,5,3,1,2,1.163245296,1,1
