manzanac,rte,pred2019,pred2019_dec,pred2018,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,1.458571429,1,2,0,2,0,3,2,2,1,1,2,2,1,3,3,0,4,4,2,10,1,8,4,4,1,3,6,3,2
7.60E+21,,2,2.312857143,2,5,3,3,7,0,3,3,4,3,4,3,3,5,1,3,3,4,5,0,2,2,8,6,1,5,3,4,2
7.60E+21,,4,4.345714286,5,4,5,9,8,5,5,9,3,7,3,11,5,5,9,3,12,1,5,7,7,5,5,9,12,6,5,10,6
7.60E+21,,0,0.330030357,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2,1,0,2,0,0,0
7.60E+21,,0,0.443226783,0,0,0,1,0,0,1,0,0,2,0,2,2,0,1,2,0,0,1,0,0,2,2,2,1,1,2,1,1
7.60E+21,,0,0.393473299,1,0,1,0,0,0,0,1,0,1,1,1,1,1,2,3,0,2,4,2,5,0,0,1,1,1,1,2,1
7.60E+21,,1,0.795904762,1,0,0,1,0,1,0,0,2,2,0,2,0,0,1,1,3,0,2,2,0,5,7,1,1,5,0,2,2
7.60E+21,,1,1.250229158,1,0,1,3,1,2,1,2,0,0,1,1,1,1,2,1,1,4,1,1,4,2,3,2,2,1,3,1,1
7.60E+21,,1,0.762141689,1,1,1,0,1,1,2,0,1,2,2,0,1,1,2,1,2,3,1,1,3,0,2,0,3,0,1,0,0
7.60E+21,,1,0.550306189,0,0,1,0,0,2,0,1,2,0,1,1,2,0,0,3,0,0,0,0,1,0,0,0,0,1,1,1,1
7.60E+21,,0,0.350980915,0,0,1,1,2,0,0,0,2,0,0,0,1,0,1,1,0,1,0,1,1,2,0,1,1,1,3,0,0
7.60E+21,,0,0.072347096,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7.60E+21,,1,0.80425207,1,1,0,0,1,1,0,2,1,0,0,2,1,5,1,0,3,1,0,1,0,0,1,0,0,0,0,3,1
7.60E+21,,1,0.625207055,1,0,0,1,0,0,1,1,2,1,3,0,1,1,1,0,3,1,1,0,0,2,1,1,2,1,0,0,1
7.60E+21,,0,0.153009374,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0
7.60E+21,,1,0.709496032,1,1,1,0,3,0,0,3,1,1,0,2,0,0,1,1,1,3,3,1,2,2,1,1,5,0,1,1,1
7.60E+21,,2,1.534347826,2,0,1,1,4,2,0,0,1,2,5,4,4,4,2,3,6,2,7,1,10,4,2,5,6,1,1,1,2
7.60E+21,,0,0.289116028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,2
7.60E+21,,1,0.88198969,1,1,0,1,1,1,1,3,0,0,1,1,3,1,2,2,0,1,0,2,2,2,2,0,1,4,3,1,3
7.60E+21,,0,0.243141925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,2,2,2,2,0
7.60E+21,,1,0.764369808,1,1,0,0,0,3,0,1,0,0,2,3,0,2,0,1,1,2,1,1,1,2,1,1,4,2,0,1,2
7.60E+21,,0,0.290875491,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,2,0,1,0,0
7.60E+21,,1,0.881734327,1,0,1,0,0,1,1,0,1,0,2,0,0,3,0,3,1,0,1,0,2,1,4,3,1,2,2,4,1
7.60E+21,,1,0.585032037,1,0,3,1,1,1,0,1,0,2,3,2,1,1,1,1,1,2,1,2,1,3,0,1,1,1,1,1,1
7.60E+21,,1,0.83347619,1,1,1,2,1,0,1,0,1,1,0,2,1,3,2,0,0,5,1,1,1,4,2,2,3,0,4,4,2
7.60E+21,,1,1.021943344,1,0,0,3,3,2,2,2,1,1,0,1,2,1,2,1,1,1,2,2,2,1,0,0,0,3,2,3,2
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.497105442,1,2,0,0,1,3,0,0,0,2,3,0,1,0,0,1,1,2,1,3,0,2,1,0,2,1,1,1,1
7.60E+21,,0,0.048931401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
7.60E+21,,1,0.515065575,1,2,0,0,0,0,0,1,0,1,2,0,0,1,0,1,4,0,2,2,2,0,1,2,2,0,0,1,1
7.60E+21,,1,0.637382063,1,0,1,1,1,1,2,1,0,0,2,2,0,1,0,0,1,0,1,1,0,3,1,1,0,1,2,0,0
7.60E+21,,1,1.124615385,1,0,0,1,0,1,2,3,0,3,0,2,0,3,1,1,5,1,0,0,2,3,2,1,1,5,2,6,2
7.60E+21,,2,1.52969697,1,2,0,1,0,1,1,4,8,1,1,5,5,2,5,8,2,2,5,2,4,5,2,1,4,2,1,0,0
7.60E+21,,1,0.894876855,1,0,2,0,1,1,3,2,0,0,2,0,0,3,2,1,2,0,1,3,2,2,2,2,4,0,1,1,1
7.60E+21,,1,0.581284014,1,0,1,0,2,0,3,2,0,2,3,0,0,0,1,1,0,0,2,1,0,0,1,2,2,2,0,1,0
7.60E+21,,7,7.022857143,7,8,10,9,7,8,9,9,6,10,14,8,6,8,4,7,7,7,13,8,9,7,3,7,16,12,7,15,16
7.60E+21,,1,0.960083333,1,0,0,1,1,3,1,0,0,3,6,0,2,0,2,1,1,0,4,2,2,2,2,2,0,0,1,5,1
7.60E+21,,1,0.64043851,1,0,0,1,1,0,1,1,0,5,0,1,2,0,1,0,0,1,0,0,1,0,0,1,1,1,2,2,3
7.60E+21,,2,1.664285714,2,0,3,4,1,4,2,6,2,1,3,2,7,1,2,2,1,10,3,3,3,2,2,1,3,4,2,3,6
7.60E+21,,1,0.625248904,1,1,0,0,1,0,0,0,0,1,0,2,3,2,1,0,2,2,2,2,1,2,2,0,0,2,2,3,0
7.60E+21,,1,0.542264741,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,4,3
7.60E+21,,4,3.891428571,4,4,5,2,7,3,11,4,6,3,4,6,5,11,8,4,4,5,6,6,7,5,6,6,7,10,5,6,12
7.60E+21,,2,1.632857143,2,1,2,0,2,3,0,2,4,2,3,5,3,3,2,2,6,2,4,6,4,3,3,7,5,1,1,2,3
7.60E+21,,1,0.810157931,1,1,0,0,0,1,1,0,0,1,0,2,2,1,2,1,2,0,1,1,2,1,0,2,5,4,2,1,4
7.60E+21,,1,0.573503607,1,1,1,0,1,1,2,0,0,1,1,0,2,0,1,1,1,1,5,0,2,4,1,1,2,0,2,0,0
7.60E+21,,2,1.984285714,2,4,2,0,5,4,2,2,7,3,6,4,9,2,8,3,7,5,6,2,7,3,3,6,2,5,2,2,1
