manzanac,ret,pred2020,pred2020_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,0,0.468533145,0,0,0,0,1,0,0,1,0,0,2,0,2,2,0,1,2,0,0,1,0,0,2,2,2,1,1,2,1
7.60E+21,,1,0.581330612,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,2,3,0,2,4,2,5,0,0,1,1,1,1,2
7.60E+21,,1,0.932469388,1,1,0,0,1,0,1,0,0,2,2,0,2,0,0,1,1,3,0,2,2,0,5,7,1,1,5,0,2
7.60E+21,,1,0.700707185,1,1,0,1,3,1,2,1,2,0,0,1,1,1,1,2,1,1,4,1,1,4,2,3,2,2,1,3,1
7.60E+21,,1,0.635742965,1,1,1,1,0,1,1,2,0,1,2,2,0,1,1,2,1,2,3,1,1,3,0,2,0,3,0,1,0
7.60E+21,,1,0.565232122,1,0,0,1,0,0,2,0,1,2,0,1,1,2,0,0,3,0,0,0,0,1,0,0,0,0,1,1,1
7.60E+21,,1,0.530571099,0,0,0,1,1,2,0,0,0,2,0,0,0,1,0,1,1,0,1,0,1,1,2,0,1,1,1,3,0
7.60E+21,,0,0.307855764,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7.60E+21,,1,0.891666667,1,1,1,0,0,1,1,0,2,1,0,0,2,1,5,1,0,3,1,0,1,0,0,1,0,0,0,0,3
7.60E+21,,1,0.524869745,1,1,0,0,1,0,0,1,1,2,1,3,0,1,1,1,0,3,1,1,0,0,2,1,1,2,1,0,0
7.60E+21,,1,0.525316051,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0
7.60E+21,,1,0.671566558,1,1,1,1,0,3,0,0,3,1,1,0,2,0,0,1,1,1,3,3,1,2,2,1,1,5,0,1,1
7.60E+21,,2,1.635714286,2,2,0,1,1,4,2,0,0,1,2,5,4,4,4,2,3,6,2,7,1,10,4,2,5,6,1,1,1
7.60E+21,,0,0.068742347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1
7.60E+21,,1,0.946111402,1,1,1,0,1,1,1,1,3,0,0,1,1,3,1,2,2,0,1,0,2,2,2,2,0,1,4,3,1
7.60E+21,,0,0.468107264,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,2,2,2,2
7.60E+21,,1,0.721808507,1,1,1,0,0,0,3,0,1,0,0,2,3,0,2,0,1,1,2,1,1,1,2,1,1,4,2,0,1
7.60E+21,,0,0.147097312,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,2,0,1,0
7.60E+21,,1,0.774135989,1,1,0,1,0,0,1,1,0,1,0,2,0,0,3,0,3,1,0,1,0,2,1,4,3,1,2,2,4
7.60E+21,,1,0.649674259,1,1,0,3,1,1,1,0,1,0,2,3,2,1,1,1,1,1,2,1,2,1,3,0,1,1,1,1,1
7.60E+21,,1,0.811530612,1,1,1,1,2,1,0,1,0,1,1,0,2,1,3,2,0,0,5,1,1,1,4,2,2,3,0,4,4
7.60E+21,,1,0.918936395,1,1,0,0,3,3,2,2,2,1,1,0,1,2,1,2,1,1,1,2,2,2,1,0,0,0,3,2,3
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,1,0.773508237,0,1,2,0,0,1,3,0,0,0,2,3,0,1,0,0,1,1,2,1,3,0,2,1,0,2,1,1,1
7.60E+21,,0,0.045283462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
7.60E+21,,0,0.43798711,1,1,2,0,0,0,0,0,1,0,1,2,0,0,1,0,1,4,0,2,2,2,0,1,2,2,0,0,1
7.60E+21,,1,0.590038894,1,1,0,1,1,1,1,2,1,0,0,2,2,0,1,0,0,1,0,1,1,0,3,1,1,0,1,2,0
7.60E+21,,1,1.027616115,1,1,0,0,1,0,1,2,3,0,3,0,2,0,3,1,1,5,1,0,0,2,3,2,1,1,5,2,6
7.60E+21,,2,1.545357143,2,1,2,0,1,0,1,1,4,8,1,1,5,5,2,5,8,2,2,5,2,4,5,2,1,4,2,1,0
7.60E+21,,1,0.901317799,1,1,0,2,0,1,1,3,2,0,0,2,0,0,3,2,1,2,0,1,3,2,2,2,2,4,0,1,1
