manzanac,,,pred2031,pred2031_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,,0,0.14729812,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,2,2,0,1,0
7.60E+21,,,1,0.869896239,1,1,1,1,2,1,1,1,1,2,1,1,1,2,0,2,0,3,2,2,1,1,2,2,1,3,3,0,4
7.60E+21,,,1,1.353745421,2,1,1,1,2,2,2,2,2,2,2,2,2,5,3,3,7,0,3,3,4,3,4,3,3,5,1,3,3
7.60E+21,,,3,3.097142857,2,3,3,3,3,4,4,4,4,4,5,4,5,4,5,9,8,5,5,9,3,7,3,11,5,5,9,3,12
7.60E+21,,,0,0.084426295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
7.60E+21,,,0,0.205664697,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,2,2,0,1,2,0
7.60E+21,,,1,0.658871968,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,2,3,0
7.60E+21,,,1,0.506632692,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,2,2,0,2,0,0,1,1,3
7.60E+21,,,1,0.621138393,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,1,2,1,2,0,0,1,1,1,1,2,1,1
7.60E+21,,,1,0.653964099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,1,2,2,0,1,1,2,1,2
7.60E+21,,,0,0.370882413,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,2,0,1,1,2,0,0,3,0
7.60E+21,,,0,0.293345808,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,2,0,0,0,2,0,0,0,1,0,1,1,0
7.60E+21,,,0,0.035561945,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
7.60E+21,,,1,0.751216183,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,2,1,0,0,2,1,5,1,0,3
7.60E+21,,,0,0.377755055,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,2,1,3,0,1,1,1,0,3
7.60E+21,,,0,0.076798794,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
7.60E+21,,,1,0.598579308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,0,0,3,1,1,0,2,0,0,1,1,1
7.60E+21,,,1,1.476938776,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,4,2,0,0,1,2,5,4,4,4,2,3,6
7.60E+21,,,0,0.338918872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.60E+21,,,1,0.750700145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,3,0,0,1,1,3,1,2,2,0
7.60E+21,,,0,0.001843465,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,,1,0.643235745,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,3,0,1,0,0,2,3,0,2,0,1,1
7.60E+21,,,0,0.013132434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
7.60E+21,,,1,0.733593401,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,2,0,0,3,0,3,1
7.60E+21,,,0,0.473379364,1,1,1,1,1,1,0,1,1,1,1,1,1,0,3,1,1,1,0,1,0,2,3,2,1,1,1,1,1
7.60E+21,,,1,0.604141575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,1,1,0,2,1,3,2,0,0
7.60E+21,,,1,0.686738932,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,3,2,2,2,1,1,0,1,2,1,2,1,1
7.60E+21,,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,,1,0.69812633,1,1,1,1,1,0,1,1,1,1,1,0,1,2,0,0,1,3,0,0,0,2,3,0,1,0,0,1,1
7.60E+21,,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,,1,0.672203621,1,1,1,1,1,1,0,1,1,1,0,1,1,2,0,0,0,0,0,1,0,1,2,0,0,1,0,1,4
7.60E+21,,,0,0.490816678,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,2,1,0,0,2,2,0,1,0,0,1
7.60E+21,,,1,0.698532544,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,2,3,0,3,0,2,0,3,1,1,5
7.60E+21,,,2,1.58,1,1,2,1,1,2,1,1,2,1,2,2,1,2,0,1,0,1,1,4,8,1,1,5,5,2,5,8,2
