manzanac,gbh,pred2022,pred2022_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,0.572234777,1,1,1,0,0,1,0,2,1,0,0,1,1,1,1,2,0,0,0,1,1,1,1,1,0,1,1,2,3
7.60E+21,,1,1.025125301,1,1,1,1,1,1,1,0,3,0,1,1,0,2,0,1,2,1,1,1,2,0,1,0,0,2,3,2,3
7.60E+21,,1,1.112883656,1,1,1,1,4,1,2,1,2,2,1,2,0,1,0,2,2,0,3,0,1,1,2,4,1,2,2,2,4
7.60E+21,,6,5.85,7,8,10,11,15,17,14,16,11,6,7,13,14,15,13,10,9,10,6,12,11,8,3,11,4,8,4,10,10
7.60E+21,,0,0.261314017,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,2,1,0,0,0
7.60E+21,,2,2.172857143,2,2,2,2,3,5,1,2,0,1,1,0,4,2,1,4,4,1,1,3,6,7,3,7,6,3,4,5,7
7.60E+21,,2,2.07,2,2,2,2,2,2,2,2,6,3,2,3,0,6,2,5,2,0,2,1,3,2,1,4,6,5,1,4,4
7.60E+21,,0,0.230968142,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,3,1,1,1,3,3,1
7.60E+21,,1,1.357142857,1,1,1,1,0,2,1,0,1,2,4,0,3,6,0,3,4,4,3,7,2,2,5,5,2,1,3,2,3
7.60E+21,,0,0.101970994,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1
7.60E+21,,0,0.159713025,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,2,0,2
7.60E+21,,0,0.293183469,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2,3,0,1,1,1,0,1
7.60E+21,,6,5.994285714,5,6,6,7,11,7,10,3,5,9,9,8,12,13,9,13,15,11,12,11,10,14,7,8,7,11,14,15,11
7.60E+21,,1,0.543766848,1,1,0,1,3,1,0,0,1,1,1,0,1,1,1,0,0,1,2,0,1,2,2,0,2,0,1,1,2
7.60E+21,,1,0.712352015,1,1,1,1,0,2,0,1,2,2,1,3,1,1,0,2,0,1,1,1,2,4,2,1,0,0,0,2,0
7.60E+21,,0,0.203426502,0,0,0,1,1,1,0,0,0,0,1,2,1,0,1,0,0,1,2,0,1,1,2,1,1,1,1,0,0
7.60E+21,,1,0.674506186,1,1,0,1,2,1,0,2,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,1,3,1,2,2,0
7.60E+21,,1,0.578097565,0,1,1,1,1,0,1,0,0,1,1,2,0,1,0,3,2,3,1,0,3,2,1,1,2,1,0,0,1
7.60E+21,,0,0.38557324,1,1,1,0,0,0,0,0,1,0,2,0,1,1,2,1,0,1,0,4,0,2,1,3,2,0,0,0,1
7.60E+21,,1,0.605920354,1,1,1,1,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,4,2,5
7.60E+21,,1,1.243234127,2,2,2,2,1,4,4,3,4,2,3,3,1,1,3,3,6,1,4,3,3,3,4,1,0,1,2,2,0
7.60E+21,,0,0.428650374,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,2,0,0,2,0,0,1,0,1,3,1,1,0
7.60E+21,,1,1.174285714,1,1,1,1,0,1,1,1,0,2,2,5,1,2,4,2,0,2,1,4,1,1,1,3,4,4,1,1,3
7.60E+21,,1,0.60448349,0,1,1,1,1,2,1,0,2,0,1,1,0,1,0,0,1,2,1,2,1,1,1,1,2,0,1,2,1
7.60E+21,,0,0.0092612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7.60E+21,,1,1.438571429,1,1,2,2,3,3,2,0,3,1,0,1,0,4,2,0,3,0,0,0,1,1,0,6,2,3,4,3,2
7.60E+21,,2,2.102857143,2,2,3,2,1,2,3,3,6,4,0,5,1,4,6,3,6,6,2,8,8,1,4,3,4,4,1,7,4
7.60E+21,,0,0.390120762,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,3
7.60E+21,,0,0.238571815,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,2,1,0,1,2,0,4,3,0,0,0,0,0,0
