manzanac,rte,pred_2018,pred2018_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,1.259256848,0,1,3,3,1,1,2,1,0,1,1,2,2,1,2,4,0,2,2,2,1,3,3,4,3,5,2,2,2
7.60E+21,,0,0.215544911,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,2,2,0,0
7.60E+21,,0,0.152669401,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,2,1,0,0,0,0,2,0,0,0,1,0
7.60E+21,,0,0.092461481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2
7.60E+21,,0,0.490134674,0,1,0,2,1,0,0,1,1,1,1,2,0,0,0,1,1,1,1,1,0,1,1,2,3,1,2,3,0
7.60E+21,,1,1.167160714,1,1,1,0,3,0,1,1,0,2,0,1,2,1,1,1,2,0,1,0,0,2,3,2,3,5,2,5,3
7.60E+21,,1,1.186428571,4,1,2,1,2,2,1,2,0,1,0,2,2,0,3,0,1,1,2,4,1,2,2,2,4,4,0,0,1
7.60E+21,,11,10.95428571,15,17,14,16,11,6,7,13,14,15,13,10,9,10,6,12,11,8,3,11,4,8,4,10,10,5,8,17,16
7.60E+21,,0,0.43600527,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,2,1,0,0,0,4,0,0,0
7.60E+21,,2,2.204285714,3,5,1,2,0,1,1,0,4,2,1,4,4,1,1,3,6,7,3,7,6,3,4,5,7,7,4,3,7
7.60E+21,,2,1.865918367,2,2,2,2,6,3,2,3,0,6,2,5,2,0,2,1,3,2,1,4,6,5,1,4,4,5,5,3,4
7.60E+21,,0,0.3142704,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,3,1,1,1,3,3,1,1,2,1,3
7.60E+21,,1,1.391428571,0,2,1,0,1,2,4,0,3,6,0,3,4,4,3,7,2,2,5,5,2,1,3,2,3,1,0,2,0
7.60E+21,,0,0.143267685,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0
7.60E+21,,0,0.330142988,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,2,0,2,0,0,0,1
7.60E+21,,0,0.29100144,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2,3,0,1,1,1,0,1,1,1,0,3
7.60E+21,,7,7.344285714,11,7,10,3,5,9,9,8,12,13,9,13,15,11,12,11,10,14,7,8,7,11,14,15,11,9,6,7,9
7.60E+21,,1,0.870666594,3,1,0,0,1,1,1,0,1,1,1,0,0,1,2,0,1,2,2,0,2,0,1,1,2,3,1,2,1
7.60E+21,,1,0.677690729,0,2,0,1,2,2,1,3,1,1,0,2,0,1,1,1,2,4,2,1,0,0,0,2,0,0,1,0,0
7.60E+21,,1,0.533256397,1,1,0,0,0,0,1,2,1,0,1,0,0,1,2,0,1,1,2,1,1,1,1,0,0,1,0,0,0
7.60E+21,,1,0.545275556,2,1,0,2,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,1,3,1,2,2,0,1,0,1,2
7.60E+21,,1,0.568621752,1,0,1,0,0,1,1,2,0,1,0,3,2,3,1,0,3,2,1,1,2,1,0,0,1,0,2,0,1
7.60E+21,,0,0.460477573,0,0,0,0,1,0,2,0,1,1,2,1,0,1,0,4,0,2,1,3,2,0,0,0,1,1,2,1,1
7.60E+21,,1,0.528658215,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,4,2,5,1,3,1,3
7.60E+21,,2,1.71,1,4,4,3,4,2,3,3,1,1,3,3,6,1,4,3,3,3,4,1,0,1,2,2,0,0,3,1,0
7.60E+21,,0,0.294383421,0,0,0,0,1,1,0,1,0,0,1,1,2,0,0,2,0,0,1,0,1,3,1,1,0,3,0,1,1
7.60E+21,,1,1.137624043,0,1,1,1,0,2,2,5,1,2,4,2,0,2,1,4,1,1,1,3,4,4,1,1,3,1,3,3,2
7.60E+21,,1,0.594324288,1,2,1,0,2,0,1,1,0,1,0,0,1,2,1,2,1,1,1,1,2,0,1,2,1,2,1,0,2
7.60E+21,,0,0.055930598,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
7.60E+21,,2,1.65,3,3,2,0,3,1,0,1,0,4,2,0,3,0,0,0,1,1,0,6,2,3,4,3,2,7,1,5,8
7.60E+21,,2,2.327142857,1,2,3,3,6,4,0,5,1,4,6,3,6,6,2,8,8,1,4,3,4,4,1,7,4,1,7,5,4
7.60E+21,,0,0.489508109,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,3,1,3,1,1
7.60E+21,,1,0.532210472,0,0,0,1,0,0,0,1,0,2,1,2,1,0,1,2,0,4,3,0,0,0,0,0,0,1,2,0,0
7.60E+21,,0,0.361828524,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,3,1,1,0,1,0,1,1,2,0,1,2
7.60E+21,,0,0.459982588,0,1,0,0,2,0,0,0,0,0,1,4,0,0,0,1,0,3,2,1,1,0,4,2,0,0,0,0,2
7.60E+21,,0,0.257063546,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,3,1,0,2,1,0
7.60E+21,,0,0.389110944,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,3,0,1,0,0,1,0,2,0,2,0,2,0,3
7.60E+21,,0,0.47288775,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,4,0,0,0,2,5,0,0,0,0
7.60E+21,,0,0.339609781,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,2,0,3,1,0
7.60E+21,,1,0.689249212,0,2,0,2,1,0,1,2,1,0,1,3,3,0,2,2,0,1,3,2,1,2,3,1,3,2,1,2,2
7.60E+21,,0,0.269124529,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,3,0,0,0,0,1,3
7.60E+21,,0,0.124875717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,3,0,0,2,0,0,0
7.60E+21,,1,1.163529685,2,1,0,3,1,0,1,1,2,1,2,0,0,0,7,1,2,4,2,3,2,4,1,3,1,3,2,5,3
7.60E+21,,0,0.466657792,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2,1,1,1,1,1,0,0,4,1,2,3,1,2
7.60E+21,,0,0.245292562,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,2,0,1,4,1,2,1,1,2,1,1,0,0
7.60E+21,,1,0.724252615,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2,4,3,3,4,1,2,3,1,1,3
7.60E+21,,1,0.934615385,1,3,2,0,0,2,1,1,0,2,1,3,0,1,1,0,0,0,3,1,0,2,3,3,1,1,3,2,0
7.60E+21,,1,0.524109263,0,0,0,0,0,1,1,0,0,3,0,2,2,0,1,0,2,1,2,1,2,0,1,0,0,0,1,0,1
7.60E+21,,1,1.386785714,2,0,2,0,3,2,2,1,1,2,2,1,3,3,0,4,4,2,10,1,8,4,4,1,3,6,3,2,5
7.60E+21,,2,2.271904762,5,3,3,7,0,3,3,4,3,4,3,3,5,1,3,3,4,5,0,2,2,8,6,1,5,3,4,2,1
7.60E+21,,5,4.815714286,4,5,9,8,5,5,9,3,7,3,11,5,5,9,3,12,1,5,7,7,5,5,9,12,6,5,10,6,7
