manzanac,,pred2029,pred2029_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,5,5.31,5,6,7,7,6,6,6,7,8,10,11,15,17,14,16,11,6,7,13,14,15,13,10,9,10,6,12,11,8
7.60E+21,,0,0.080130527,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
7.60E+21,,2,1.62025974,1,2,2,2,2,2,2,2,2,2,2,3,5,1,2,0,1,1,0,4,2,1,4,4,1,1,3,6,7
7.60E+21,,1,0.920633053,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,6,3,2,3,0,6,2,5,2,0,2,1,3,2
7.60E+21,,0,0.179446343,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1
7.60E+21,,1,1.169736549,1,2,1,1,1,1,1,1,1,1,1,0,2,1,0,1,2,4,0,3,6,0,3,4,4,3,7,2,2
7.60E+21,,0,0.096322503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2
7.60E+21,,0,0.027536018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
7.60E+21,,0,0.055950919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2
7.60E+21,,5,5.137142857,5,5,5,6,5,6,6,5,6,6,7,11,7,10,3,5,9,9,8,12,13,9,13,15,11,12,11,10,14
7.60E+21,,1,0.558770279,1,1,1,1,1,1,1,1,1,0,1,3,1,0,0,1,1,1,0,1,1,1,0,0,1,2,0,1,2
7.60E+21,,1,0.707191568,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,2,2,1,3,1,1,0,2,0,1,1,1,2,4
7.60E+21,,0,0.218136069,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,0,1,0,0,1,2,0,1,1
7.60E+21,,0,0.451104302,1,1,1,1,1,1,1,1,1,0,1,2,1,0,2,0,0,0,0,0,2,1,1,1,0,1,0,0,0
7.60E+21,,1,0.598538961,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,2,0,1,0,3,2,3,1,0,3,2
7.60E+21,,1,0.537364135,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,2,0,1,1,2,1,0,1,0,4,0,2
7.60E+21,,0,0.388920714,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,1,1,0
7.60E+21,,1,1.264285714,1,1,1,1,1,2,1,2,2,2,2,1,4,4,3,4,2,3,3,1,1,3,3,6,1,4,3,3,3
